"LAYER1_OID","LAYER_1_TAX_CODE","LAYER1","LAYER2_OID","LAYER_2_TAX_CODE","LAYER2","LAYER3_OID","LAYER_3_TAX_CODE","LAYER3"
"1000485","P0","Arts, sports and recreation","1000486","P0.010","Arts and entertainment","1000487","P0.010.010","Artists and artists companies"
"1000485","P0","Arts, sports and recreation","1000486","P0.010","Arts and entertainment","1000488","P0.010.020","Arts and entertainment agencies"
"1000485","P0","Arts, sports and recreation","1000486","P0.010","Arts and entertainment","1000489","P0.010.030","Arts and entertainment facility operation"
"1000485","P0","Arts, sports and recreation","1000486","P0.010","Arts and entertainment","1000481","N0.020.050","Fine art instruction"
"1000485","P0","Arts, sports and recreation","1000486","P0.010","Arts and entertainment","1086949597","P0.010.110","Firework Display Operation"
"1000485","P0","Arts, sports and recreation","1000486","P0.010","Arts and entertainment","1000494","P0.010.090","Heritage site operation"
"1000485","P0","Arts, sports and recreation","1000486","P0.010","Arts and entertainment","1000493","P0.010.080","Museums and gallery operation"
"1000485","P0","Arts, sports and recreation","1000486","P0.010","Arts and entertainment","1000471","M0.020.060","Party planning"
"1000485","P0","Arts, sports and recreation","1000486","P0.010","Arts and entertainment","1000286","F0.090.100","Party supplies hire"
"1000485","P0","Arts, sports and recreation","1000486","P0.010","Arts and entertainment","1000492","P0.010.070","Theme park operation"
"1000485","P0","Arts, sports and recreation","1000486","P0.010","Arts and entertainment","1000490","P0.010.040","Ticket agencies"
"1000485","P0","Arts, sports and recreation","1000486","P0.010","Arts and entertainment","1000300","G0.010.060","Tour operator services"
"1000485","P0","Arts, sports and recreation","1000486","P0.010","Arts and entertainment","1000299","G0.010.050","Travel agency services"
"1000485","P0","Arts, sports and recreation","1000486","P0.010","Arts and entertainment","1076864060","P0.010.100","Zoos"
"1000485","P0","Arts, sports and recreation","1000502","P0.030","Gambling facilities operation","1000491","P0.010.050","Amusement arcade operation"
"1000485","P0","Arts, sports and recreation","1000502","P0.030","Gambling facilities operation","1000504","P0.030.020","Betting shop operation"
"1000485","P0","Arts, sports and recreation","1000502","P0.030","Gambling facilities operation","1000505","P0.030.030","Bingo hall operation"
"1000485","P0","Arts, sports and recreation","1000502","P0.030","Gambling facilities operation","1000503","P0.030.010","Casino operation"
"1000485","P0","Arts, sports and recreation","1000502","P0.030","Gambling facilities operation","1087768661","P0.030.060","Track betting operation"
"1000485","P0","Arts, sports and recreation","1000495","P0.020","Sports and recreation","1000483","N0.020.070","Athletic instruction"
"1000485","P0","Arts, sports and recreation","1000495","P0.020","Sports and recreation","1000499","P0.020.040","Fitness centre operation"
"1000485","P0","Arts, sports and recreation","1000495","P0.020","Sports and recreation","1000500","P0.020.050","Outdoor adventure centre operation"
"1000485","P0","Arts, sports and recreation","1000495","P0.020","Sports and recreation","1000501","P0.020.060","Racehorse owning and training"
"1000485","P0","Arts, sports and recreation","1000495","P0.020","Sports and recreation","1000497","P0.020.020","Sports and athletic agencies"
"1000485","P0","Arts, sports and recreation","1000495","P0.020","Sports and recreation","1000496","P0.020.010","Sports clubs"
"1000485","P0","Arts, sports and recreation","1000495","P0.020","Sports and recreation","1000498","P0.020.030","Sports facility operation"
"1000485","P0","Arts, sports and recreation","1000495","P0.020","Sports and recreation","1000490","P0.010.040","Ticket agencies"
"1000408","K0","Catering and accommodation","1000409","K0.010","Accommodation","1000412","K0.010.030","Camping sites"
"1000408","K0","Catering and accommodation","1000409","K0.010","Accommodation","1000411","K0.010.020","Hostels"
"1000408","K0","Catering and accommodation","1000409","K0.010","Accommodation","1000410","K0.010.010","Hotels"
"1000408","K0","Catering and accommodation","1000409","K0.010","Accommodation","1000413","K0.010.040","Self-catering accommodation"
"1000408","K0","Catering and accommodation","1000414","K0.020","Bars","1000415","K0.020.010","Licensed nightclubs"
"1000408","K0","Catering and accommodation","1000414","K0.020","Bars","1087768601","K0.020.030","Members clubs"
"1000408","K0","Catering and accommodation","1000414","K0.020","Bars","1000416","K0.020.020","Public houses"
"1000408","K0","Catering and accommodation","1000417","K0.030","Catering","1000422","K0.030.050","Canteens"
"1000408","K0","Catering and accommodation","1000417","K0.030","Catering","1000423","K0.030.060","Catering services"
"1000408","K0","Catering and accommodation","1000417","K0.030","Catering","1000418","K0.030.010","Licensed restaurants"
"1000408","K0","Catering and accommodation","1000417","K0.030","Catering","1000420","K0.030.030","Take-away food shops"
"1000408","K0","Catering and accommodation","1000417","K0.030","Catering","1000421","K0.030.040","Take-away food stalls"
"1000408","K0","Catering and accommodation","1000417","K0.030","Catering","1000419","K0.030.020","Unlicensed restaurants"
"1000027","C0","Construction","1000048","C0.030","Architectural and other building services","1000049","C0.030.010","Architectural services"
"1000027","C0","Construction","1000048","C0.030","Architectural and other building services","1000053","C0.030.050","Construction consultancy"
"1000027","C0","Construction","1000048","C0.030","Architectural and other building services","1000050","C0.030.020","Landscape design services"
"1000027","C0","Construction","1000048","C0.030","Architectural and other building services","1000052","C0.030.040","Quantity surveying"
"1000027","C0","Construction","1000048","C0.030","Architectural and other building services","1000051","C0.030.030","Urban planning services"
"1000027","C0","Construction","1000028","C0.010","Building construction","1000031","C0.010.030","Civil engineering"
"1000027","C0","Construction","1000028","C0.010","Building construction","1000030","C0.010.020","Commercial building construction"
"1000027","C0","Construction","1000028","C0.010","Building construction","1000029","C0.010.010","Residential building construction"
"1000027","C0","Construction","1000032","C0.020","Building trades","1000034","C0.020.020","Brick laying"
"1000027","C0","Construction","1000032","C0.020","Building trades","1000045","C0.020.130","Building exterior cleaning"
"1000027","C0","Construction","1000032","C0.020","Building trades","1000033","C0.020.010","Building site preparation"
"1000027","C0","Construction","1000032","C0.020","Building trades","1000047","C0.020.150","Construction equipment hire with operator"
"1000027","C0","Construction","1000032","C0.020","Building trades","1000039","C0.020.070","Damp proofing"
"1000027","C0","Construction","1000032","C0.020","Building trades","1000036","C0.020.040","Electrical installation and repair"
"1000027","C0","Construction","1000032","C0.020","Building trades","1000043","C0.020.110","Floor covering"
"1000027","C0","Construction","1000032","C0.020","Building trades","1000042","C0.020.100","Glazing"
"1000027","C0","Construction","1000032","C0.020","Building trades","1000037","C0.020.050","Insulation installation"
"1000027","C0","Construction","1000032","C0.020","Building trades","1076864127","C0.020.095","Joinery"
"1000027","C0","Construction","1000032","C0.020","Building trades","1000046","C0.020.140","Other specialised construction activities"
"1000027","C0","Construction","1000032","C0.020","Building trades","1000044","C0.020.120","Painting and decorating"
"1000027","C0","Construction","1000032","C0.020","Building trades","1000040","C0.020.080","Plastering"
"1000027","C0","Construction","1000032","C0.020","Building trades","1000038","C0.020.060","Plumbing"
"1000027","C0","Construction","1000032","C0.020","Building trades","1000035","C0.020.030","Roofing"
"1000027","C0","Construction","1000032","C0.020","Building trades","1000041","C0.020.090","Shop fitting"
"1000473","N0","Education","1000477","N0.020","Adult and other education","1000483","N0.020.070","Athletic instruction"
"1000473","N0","Education","1000477","N0.020","Adult and other education","1000478","N0.020.010","Business and professional training"
"1000473","N0","Education","1000477","N0.020","Adult and other education","1000371","N0.020.020","Computer training"
"1000473","N0","Education","1000477","N0.020","Adult and other education","1000482","N0.020.060","Driving instruction"
"1000473","N0","Education","1000477","N0.020","Adult and other education","1000481","N0.020.050","Fine art instruction"
"1000473","N0","Education","1000477","N0.020","Adult and other education","1000480","N0.020.040","Language instruction"
"1000473","N0","Education","1000477","N0.020","Adult and other education","1000484","N0.020.080","Personal development instruction"
"1000473","N0","Education","1000477","N0.020","Adult and other education","1000479","N0.020.030","Technical and vocational training"
"1000473","N0","Education","1000474","N0.010","Formal education","1000475","N0.010.010","Primary education"
"1000473","N0","Education","1000474","N0.010","Formal education","1000476","N0.010.020","Secondary education"
"1000424","L0","Health and social care services","1000441","L0.020","Complementary therapy services","1000442","L0.020.010","Acupuncture"
"1000424","L0","Health and social care services","1000441","L0.020","Complementary therapy services","1000446","L0.020.050","Aromatherapy"
"1000424","L0","Health and social care services","1000441","L0.020","Complementary therapy services","1079032405","L0.020.080","Art and music therapy"
"1000424","L0","Health and social care services","1000441","L0.020","Complementary therapy services","1000447","L0.020.060","Chiropractic"
"1000424","L0","Health and social care services","1000441","L0.020","Complementary therapy services","1000444","L0.020.030","Homeopathy"
"1000424","L0","Health and social care services","1000441","L0.020","Complementary therapy services","1000445","L0.020.040","Hypnotherapy"
"1000424","L0","Health and social care services","1000441","L0.020","Complementary therapy services","1000448","L0.020.070","Osteopathy"
"1000424","L0","Health and social care services","1000441","L0.020","Complementary therapy services","1000443","L0.020.020","Reflexology"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1087767839","L0.010.230","Art therapy"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000430","L0.010.050","Chiropody"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000429","L0.010.040","Dental hygienist services"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000428","L0.010.030","Dentistry"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000426","L0.010.010","Doctor services"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000440","L0.010.200","Hospitals"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000436","L0.010.110","Midwifery"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000427","L0.010.020","Nurse services"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000431","L0.010.060","Nutritionist services"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000438","L0.010.140","Occupational therapy"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000432","L0.010.070","Optician services"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000433","L0.010.080","Optometry"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1087767912","L0.010.250","Orthoptics"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1087767813","L0.010.210","Orthotics"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000434","L0.010.090","Physiotherapy"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1087767835","L0.010.220","Prosthetics"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000435","L0.010.100","Psychotherapy"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1087767863","L0.010.240","Radiography"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000352","H0.060.010","Recruitment agencies and personnel supply"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000439","L0.010.150","Speech therapy"
"1000424","L0","Health and social care services","1000425","L0.010","Health services","1000437","L0.010.120","Veterinary services"
"1000424","L0","Health and social care services","1000449","L0.030","Social care services","1000453","L0.030.040","Childrens day care centres"
"1000424","L0","Health and social care services","1000449","L0.030","Social care services","1000451","L0.030.020","Childrens homes"
"1000424","L0","Health and social care services","1000449","L0.030","Social care services","1087767923","L0.030.070","Domiciliary care"
"1000424","L0","Health and social care services","1000449","L0.030","Social care services","1000454","L0.030.050","Nanny services"
"1000424","L0","Health and social care services","1000449","L0.030","Social care services","1000450","L0.030.010","Nursing homes"
"1000424","L0","Health and social care services","1000449","L0.030","Social care services","1000452","L0.030.030","Retirement homes"
"1000424","L0","Health and social care services","1000449","L0.030","Social care services","1000455","L0.030.060","Social work"
"1000367","I0","IT and telecommunications services","1000368","I0.010","Computer services","1000370","I0.010.020","Computer installation, maintenance and support services"
"1000367","I0","IT and telecommunications services","1000368","I0.010","Computer services","1000371","N0.020.020","Computer training"
"1000367","I0","IT and telecommunications services","1000368","I0.010","Computer services","1000254","F0.040.080","Computers and electronic office equipment repair"
"1000367","I0","IT and telecommunications services","1000368","I0.010","Computer services","1000253","F0.040.070","Computers and electronic office equipment retail"
"1000367","I0","IT and telecommunications services","1000368","I0.010","Computer services","1000372","I0.010.030","IT consultancy"
"1000367","I0","IT and telecommunications services","1000368","I0.010","Computer services","1000369","I0.010.010","Software development and publishing"
"1000367","I0","IT and telecommunications services","1000373","I0.020","Internet services","1000378","I0.020.050","Internet consultancy"
"1000367","I0","IT and telecommunications services","1000373","I0.020","Internet services","1000377","I0.020.040","Internet publishing and broadcasting"
"1000367","I0","IT and telecommunications services","1000373","I0.020","Internet services","1000374","I0.020.010","Internet service provision"
"1000367","I0","IT and telecommunications services","1000373","I0.020","Internet services","1000376","I0.020.030","Web design and development"
"1000367","I0","IT and telecommunications services","1000373","I0.020","Internet services","1000375","I0.020.020","Web hosting"
"1000367","I0","IT and telecommunications services","1000379","I0.030","Telecommunications services","1000381","I0.030.020","Broadband telecommunications service provision"
"1000367","I0","IT and telecommunications services","1000379","I0.030","Telecommunications services","1000382","I0.030.030","Mobile telecommunications service provision"
"1000367","I0","IT and telecommunications services","1000379","I0.030","Telecommunications services","1000255","F0.040.090","Telecommunication equipment retail"
"1000367","I0","IT and telecommunications services","1000379","I0.030","Telecommunications services","1000384","I0.030.050","Telecommunications consultancy"
"1000367","I0","IT and telecommunications services","1000379","I0.030","Telecommunications services","1000383","I0.030.040","Telecommunications resellers"
"1000367","I0","IT and telecommunications services","1000379","I0.030","Telecommunications services","1000380","I0.030.010","Telephone service provision"
"1000054","D0","Manufacturing","1000131","D0.140","Arts, sports and recreation goods manufacturing","1000132","D0.140.007","Bicycle and bicycle parts manufacturing"
"1000054","D0","Manufacturing","1000131","D0.140","Arts, sports and recreation goods manufacturing","1000136","D0.140.040","Handicrafts manufacturing"
"1000054","D0","Manufacturing","1000131","D0.140","Arts, sports and recreation goods manufacturing","1000135","D0.140.030","Musical instrument manufacturing"
"1000054","D0","Manufacturing","1000131","D0.140","Arts, sports and recreation goods manufacturing","1000133","D0.140.010","Sports equipment manufacturing"
"1000054","D0","Manufacturing","1000131","D0.140","Arts, sports and recreation goods manufacturing","1000134","D0.140.020","Toys and games manufacturing"
"1000054","D0","Manufacturing","1000093","D0.070","Building materials manufacturing","1000098","D0.070.050","Builders joinery manufacturing"
"1000054","D0","Manufacturing","1000093","D0.070","Building materials manufacturing","1000094","D0.070.010","Clay and ceramic building materials manufacturing"
"1000054","D0","Manufacturing","1000093","D0.070","Building materials manufacturing","1000096","D0.070.030","Concrete and cement products manufacturing"
"1000054","D0","Manufacturing","1000093","D0.070","Building materials manufacturing","1000095","D0.070.020","Glass building products manufacturing"
"1000054","D0","Manufacturing","1000093","D0.070","Building materials manufacturing","1079032064","D0.070.060","Household articles manufacturing"
"1000054","D0","Manufacturing","1000093","D0.070","Building materials manufacturing","1000097","D0.070.040","Stone and slate products manufacturing"
"1000054","D0","Manufacturing","1000083","D0.060","Chemical and petroleum products manufacturing","1000085","D0.060.020","Agrochemicals manufacturing"
"1000054","D0","Manufacturing","1000083","D0.060","Chemical and petroleum products manufacturing","1000091","D0.060.080","Beauty and toilet products manufacturing"
"1000054","D0","Manufacturing","1000083","D0.060","Chemical and petroleum products manufacturing","1000090","D0.060.070","Biopharmaceuticals manufacturing"
"1000054","D0","Manufacturing","1000083","D0.060","Chemical and petroleum products manufacturing","1000092","D0.060.090","Cleaning compound manufacturing"
"1000054","D0","Manufacturing","1000083","D0.060","Chemical and petroleum products manufacturing","1000086","D0.060.030","Explosives manufacturing"
"1000054","D0","Manufacturing","1000083","D0.060","Chemical and petroleum products manufacturing","1000084","D0.060.010","Petrol manufacturing"
"1000054","D0","Manufacturing","1000083","D0.060","Chemical and petroleum products manufacturing","1000089","D0.060.060","Pharmaceuticals and medicine manufacturing"
"1000054","D0","Manufacturing","1000083","D0.060","Chemical and petroleum products manufacturing","1000088","D0.060.050","Plastic products manufacturing"
"1000054","D0","Manufacturing","1000083","D0.060","Chemical and petroleum products manufacturing","1000087","D0.060.040","Rubber products manufacturing"
"1000054","D0","Manufacturing","1000069","D0.020","Clothing, footwear and accessories manufacturing","1000070","D0.020.010","Adult clothing and accessories manufacturing"
"1000054","D0","Manufacturing","1000069","D0.020","Clothing, footwear and accessories manufacturing","1000071","D0.020.020","Children's clothing and baby goods manufacturing"
"1000054","D0","Manufacturing","1000069","D0.020","Clothing, footwear and accessories manufacturing","1000072","D0.020.030","Footwear manufacturing"
"1000054","D0","Manufacturing","1000069","D0.020","Clothing, footwear and accessories manufacturing","1000073","D0.020.040","Leather products manufacturing"
"1000054","D0","Manufacturing","1000116","D0.110","Electrical equipment manufacturing","1000121","D0.110.050","Battery manufacturing"
"1000054","D0","Manufacturing","1000116","D0.110","Electrical equipment manufacturing","1000117","D0.110.010","Electric lighting equipment manufacturing"
"1000054","D0","Manufacturing","1000116","D0.110","Electrical equipment manufacturing","1000119","D0.110.030","Electric motor manufacturing"
"1000054","D0","Manufacturing","1000116","D0.110","Electrical equipment manufacturing","1000120","D0.110.040","Electric wire and cable manufacturing"
"1000054","D0","Manufacturing","1000116","D0.110","Electrical equipment manufacturing","1000118","D0.110.020","Electrical appliance manufacturing"
"1000054","D0","Manufacturing","1000122","D0.120","Electronic equipment and computer manufacturing","1000126","D0.120.040","Audio-visual equipment manufacturing"
"1000054","D0","Manufacturing","1000122","D0.120","Electronic equipment and computer manufacturing","1000123","D0.120.010","Computer and computer peripherals manufacturing"
"1000054","D0","Manufacturing","1000122","D0.120","Electronic equipment and computer manufacturing","1000124","D0.120.020","Electronic office equipment manufacturing"
"1000054","D0","Manufacturing","1000122","D0.120","Electronic equipment and computer manufacturing","1000127","D0.120.050","Recording media manufacturing"
"1000054","D0","Manufacturing","1000122","D0.120","Electronic equipment and computer manufacturing","1000125","D0.120.030","Telecommunications equipment manufacturing"
"1000054","D0","Manufacturing","1000055","D0.010","Food, drink and tobacco manufacturing","1000066","D0.010.110","Alcoholic drink manufacturing"
"1000054","D0","Manufacturing","1000055","D0.010","Food, drink and tobacco manufacturing","1000056","D0.010.010","Animal food manufacturing"
"1000054","D0","Manufacturing","1000055","D0.010","Food, drink and tobacco manufacturing","1000062","D0.010.070","Bakery products manufacturing"
"1000054","D0","Manufacturing","1000055","D0.010","Food, drink and tobacco manufacturing","1000059","D0.010.040","Dairy product manufacturing"
"1000054","D0","Manufacturing","1000055","D0.010","Food, drink and tobacco manufacturing","1000058","D0.010.030","Fruit and vegetable processing"
"1000054","D0","Manufacturing","1000055","D0.010","Food, drink and tobacco manufacturing","1000057","D0.010.020","Grain and vegetable oil processing"
"1000054","D0","Manufacturing","1000055","D0.010","Food, drink and tobacco manufacturing","1000065","D0.010.100","Health food and supplements manufacturing"
"1000054","D0","Manufacturing","1000055","D0.010","Food, drink and tobacco manufacturing","1000060","D0.010.050","Meat product manufacturing"
"1000054","D0","Manufacturing","1000055","D0.010","Food, drink and tobacco manufacturing","1000064","D0.010.090","Other food manufacturing"
"1000054","D0","Manufacturing","1000055","D0.010","Food, drink and tobacco manufacturing","1000061","D0.010.060","Seafood processing"
"1000054","D0","Manufacturing","1000055","D0.010","Food, drink and tobacco manufacturing","1000067","D0.010.120","Soft drink manufacturing"
"1000054","D0","Manufacturing","1000055","D0.010","Food, drink and tobacco manufacturing","1000063","D0.010.080","Sugar and confectionery manufacturing"
"1000054","D0","Manufacturing","1000055","D0.010","Food, drink and tobacco manufacturing","1000068","D0.010.130","Tobacco products manufacturing"
"1000054","D0","Manufacturing","1000128","D0.130","Jewellery, watch and clock manufacturing","1000129","D0.130.010","Jewellery manufacturing"
"1000054","D0","Manufacturing","1000128","D0.130","Jewellery, watch and clock manufacturing","1000130","D0.130.020","Watch and clock manufacturing"
"1000054","D0","Manufacturing","1000103","D0.090","Machinery manufacturing","1000105","D0.090.020","Agricultural machinery manufacturing"
"1000054","D0","Manufacturing","1000103","D0.090","Machinery manufacturing","1000107","D0.090.040","Construction machinery manufacturing"
"1000054","D0","Manufacturing","1000103","D0.090","Machinery manufacturing","1000104","D0.090.010","Engine and turbine manufacturing"
"1000054","D0","Manufacturing","1000103","D0.090","Machinery manufacturing","1000108","D0.090.050","Guns and ammunition manufacturing"
"1000054","D0","Manufacturing","1000103","D0.090","Machinery manufacturing","1000109","D0.090.060","Industrial machinery manufacturing"
"1000054","D0","Manufacturing","1000103","D0.090","Machinery manufacturing","1000110","D0.090.070","Other machinery manufacturing"
"1000054","D0","Manufacturing","1000103","D0.090","Machinery manufacturing","1000106","D0.090.030","Power tool manufacturing"
"1000054","D0","Manufacturing","1000099","D0.080","Metal and metal products manufacturing","1000100","D0.080.010","Metal manufacturing"
"1000054","D0","Manufacturing","1000099","D0.080","Metal and metal products manufacturing","1000102","D0.080.030","Metal product manufacturing"
"1000054","D0","Manufacturing","1000099","D0.080","Metal and metal products manufacturing","1000101","D0.080.020","Metal treatment and coating"
"1000054","D0","Manufacturing","1000077","D0.040","Paper products manufacturing","1000078","D0.040.010","Paper and paper stationery manufacturing"
"1000054","D0","Manufacturing","1000077","D0.040","Paper products manufacturing","1000079","D0.040.020","Paper container and packaging manufacturing"
"1000054","D0","Manufacturing","1000080","D0.050","Printing and printing support activities","1000081","D0.050.010","Printing"
"1000054","D0","Manufacturing","1000080","D0.050","Printing and printing support activities","1000082","D0.050.020","Printing support activities"
"1000054","D0","Manufacturing","1000074","D0.030","Textiles and furniture manufacturing","1000076","D0.030.020","Furniture manufacturing"
"1000054","D0","Manufacturing","1000074","D0.030","Textiles and furniture manufacturing","1000075","D0.030.010","Textiles manufacturing"
"1000054","D0","Manufacturing","1000111","D0.100","Vehicle manufacturing","1079032100","D0.100.060","Aircraft manufacturing"
"1000054","D0","Manufacturing","1000111","D0.100","Vehicle manufacturing","1000115","D0.100.040","Boat building and repair"
"1000054","D0","Manufacturing","1000111","D0.100","Vehicle manufacturing","1000114","D0.100.030","Motor vehicle accessories manufacturing"
"1000054","D0","Manufacturing","1000111","D0.100","Vehicle manufacturing","1000112","D0.100.010","Motor vehicle manufacturing"
"1000054","D0","Manufacturing","1000111","D0.100","Vehicle manufacturing","1000113","D0.100.020","Motor vehicle parts manufacturing"
"1000054","D0","Manufacturing","1000111","D0.100","Vehicle manufacturing","1000087","D0.060.040","Rubber products manufacturing"
"1000054","D0","Manufacturing","1000111","D0.100","Vehicle manufacturing","1079031844","D0.100.050","Train and rolling stock manufacturing"
"1000385","J0","Media and creative services","1078750265","J0.010","Design and photographic services","1079055374","J0.010.040","Fashion design services"
"1000385","J0","Media and creative services","1078750265","J0.010","Design and photographic services","1079055119","J0.010.020","Graphic design services"
"1000385","J0","Media and creative services","1078750265","J0.010","Design and photographic services","1078982731","J0.010.010","Industrial design services"
"1000385","J0","Media and creative services","1078750265","J0.010","Design and photographic services","1079055372","J0.010.030","Interior design services"
"1000385","J0","Media and creative services","1078750265","J0.010","Design and photographic services","1079055376","J0.010.050","Photographic services"
"1000385","J0","Media and creative services","1078750265","J0.010","Design and photographic services","1000376","I0.020.030","Web design and development"
"1000385","J0","Media and creative services","1000392","J0.020","Film production and distribution","1000394","J0.020.020","Film distribution"
"1000385","J0","Media and creative services","1000392","J0.020","Film production and distribution","1000393","J0.020.010","Film production"
"1000385","J0","Media and creative services","1000392","J0.020","Film production and distribution","1000395","J0.020.030","Film projection"
"1000385","J0","Media and creative services","1000396","J0.030","Music production and publishing","1000398","J0.030.020","Music production"
"1000385","J0","Media and creative services","1000396","J0.030","Music production and publishing","1000399","J0.030.030","Music publishing"
"1000385","J0","Media and creative services","1000396","J0.030","Music production and publishing","1000397","J0.030.010","Music recording studio services"
"1000385","J0","Media and creative services","1000403","J0.050","Publishing","1000404","J0.050.010","Book publishing"
"1000385","J0","Media and creative services","1000403","J0.050","Publishing","1000406","J0.050.030","Magazine publishing"
"1000385","J0","Media and creative services","1000403","J0.050","Publishing","1000405","J0.050.020","Newspaper publishing"
"1000385","J0","Media and creative services","1000403","J0.050","Publishing","1000407","J0.050.040","Other publishing"
"1000385","J0","Media and creative services","1000400","J0.040","Television and radio broadcasting","1000402","J0.040.020","Radio broadcasting"
"1000385","J0","Media and creative services","1000400","J0.040","Television and radio broadcasting","1000401","J0.040.010","Television broadcasting"
"1000019","B0","Mining, energy and utilities","1000023","B0.020","Energy utilities","1000024","B0.020.010","Electricity supply"
"1000019","B0","Mining, energy and utilities","1000023","B0.020","Energy utilities","1000025","B0.020.020","Gas supply"
"1000019","B0","Mining, energy and utilities","1000023","B0.020","Energy utilities","1000026","B0.020.030","Water supply"
"1000019","B0","Mining, energy and utilities","1000020","B0.010","Mining and oil and gas extraction","1000021","B0.010.010","Mining and quarrying"
"1000019","B0","Mining, energy and utilities","1000020","B0.010","Mining and oil and gas extraction","1000022","B0.010.020","Oil and gas extraction"
"1000456","M0","Personal services","1000457","M0.010","Personal care services","1000459","M0.010.020","Beautician services"
"1000456","M0","Personal services","1000457","M0.010","Personal care services","1000458","M0.010.010","Hairdressing"
"1000456","M0","Personal services","1000457","M0.010","Personal care services","1000460","M0.010.030","Massage"
"1000456","M0","Personal services","1000457","M0.010","Personal care services","1000461","M0.010.040","Saunas and steam rooms"
"1000456","M0","Personal services","1000457","M0.010","Personal care services","1000464","M0.010.070","Slimming centres"
"1000456","M0","Personal services","1000457","M0.010","Personal care services","1000463","M0.010.060","Tanning salons"
"1000456","M0","Personal services","1000457","M0.010","Personal care services","1000462","M0.010.050","Tattoo parlours"
"1000311","H0","Professional and business services","1000345","H0.050","Advertising and marketing services","1000346","H0.050.010","Advertising agencies"
"1000311","H0","Professional and business services","1000345","H0.050","Advertising and marketing services","1000348","H0.050.030","Direct marketing services"
"1000311","H0","Professional and business services","1000345","H0.050","Advertising and marketing services","1000349","H0.050.040","Market research services"
"1000311","H0","Professional and business services","1000345","H0.050","Advertising and marketing services","1000350","H0.050.050","Marketing consultancy"
"1000311","H0","Professional and business services","1000345","H0.050","Advertising and marketing services","1000347","H0.050.020","Public relations services"
"1000311","H0","Professional and business services","1000351","H0.060","Business support services","1000358","H0.060.100","Auctioneering services"
"1000311","H0","Professional and business services","1000351","H0.060","Business support services","1000342","H0.060.060","Cleaning services"
"1000311","H0","Professional and business services","1000351","H0.060","Business support services","1000254","F0.040.080","Computers and electronic office equipment repair"
