"LAYER1_OID","LAYER_1_TAX_CODE","LAYER1","LAYER2_OID","LAYER_2_TAX_CODE","LAYER2","LAYER3_OID","LAYER_3_TAX_CODE","LAYER3"
"1000001","A0","Agriculture, forestry and fishing","1000002","A0.010","Agriculture","1000011","A0.010.090","Animal farming support services"
"1000001","A0","Agriculture, forestry and fishing","1000002","A0.010","Agriculture","1000003","A0.010.010","Arable farming"
"1000001","A0","Agriculture, forestry and fishing","1000002","A0.010","Agriculture","1000004","A0.010.020","Arable farming support services"
"1000001","A0","Agriculture, forestry and fishing","1000002","A0.010","Agriculture","1000009","A0.010.070","Beekeeping"
"1000001","A0","Agriculture, forestry and fishing","1000002","A0.010","Agriculture","1000005","A0.010.030","Cattle farming"
"1000001","A0","Agriculture, forestry and fishing","1000002","A0.010","Agriculture","1000010","A0.010.080","Other animal farming"
"1000001","A0","Agriculture, forestry and fishing","1000002","A0.010","Agriculture","1000007","A0.010.050","Pig farming"
"1000001","A0","Agriculture, forestry and fishing","1000002","A0.010","Agriculture","1000008","A0.010.060","Poultry farming"
"1000001","A0","Agriculture, forestry and fishing","1000002","A0.010","Agriculture","1087768512","A0.010.100","Seed merchants, processor and packers"
"1000001","A0","Agriculture, forestry and fishing","1000002","A0.010","Agriculture","1000006","A0.010.040","Sheep and goat farming"
"1000001","A0","Agriculture, forestry and fishing","1000015","A0.030","Fishing and hunting","1000018","A0.030.030","Animal hunting and trapping"
"1000001","A0","Agriculture, forestry and fishing","1000015","A0.030","Fishing and hunting","1000017","A0.030.020","Fish farming"
"1000001","A0","Agriculture, forestry and fishing","1000015","A0.030","Fishing and hunting","1000016","A0.030.010","Fishing"
"1000001","A0","Agriculture, forestry and fishing","1000012","A0.020","Forestry","1000013","A0.020.010","Forestry"
"1000001","A0","Agriculture, forestry and fishing","1000012","A0.020","Forestry","1000014","A0.020.020","Logging"
"1000485","P0","Arts, sports and recreation","1000486","P0.010","Arts and entertainment","1000491","P0.010.050","Amusement arcade operation"
