correlation_id,legal_ref_id,gds_id
1084063424,630002,1216-4-1
1074535039,640001,1217-6-1
1084100404,640002,1217-4-1
1084086387,650002,1218-4-1
1074535639,770001,1222-1-1
1074535639,770002,1222-2-1
1083742585,770003,1222-3-1
1083733104,770004,1222-4-1
1074535695,750002,1223-2-1
1084970249,210002,1225-5-1
1083741364,210003,1225-4-1
1084970249,21000265,1225-3-1
1074535201,810001,1227-1-1
1074535201,810002,1227-2-1
1084062241,810004,1227-4-1
1084145511,830001,1228-5-1
1084129303,840001,1229-5-1
1084109647,850001,1230-5-1
1084109647,850002,1230-3-1
1084109647,850003,1230-4-1
1084063366,860004,1231-4-1
1084062630,880001,1233-7-1
1084110162,910001,1235-5-1
1084110162,910002,1235-3-1
1074535235,980001,1239-7-1
1074535389,1020001,1241-7-1
1084128028,510001,1242-7-1
1075328160,1180001,1245-7-1
1074535596,1190001,1246-6-1
1084063281,1370001,1250-5-1
1074535654,1320001,1251-1-1
1084022918,1320004,1251-4-1
1074535649,1330001,1252-1-1
1084072735,1330004,1252-4-1
1084140798,1410001,1254-7-1
1084033310,1420001,1255-7-1
1083742337,1430001,1256-6-1
1083741719,1430002,1256-4-1
1087626122,1450002,1257-2-1
1084001825,1530001,1258-6-1
1084062175,1530002,1258-4-1
1084176477,1531001,1259-5-1
1084128372,1540001,1260-5-1
1084063256,1540002,1260-3-1
1084176885,1540003,1260-4-1
1084128787,1560004,1262-4-1
1083733152,1330003,1263-3-1
1084109734,1640001,1265-5-1
1083741107,1340001,1268-7-1
1075328611,1710001,1270-5-1
1084015070,1720001,1271-5-1
1084022770,1720002,1271-3-1
1084033223,1720003,1271-4-1
1084022770,1770002,1275-3-1
1084062087,1770003,1275-4-1
1075328372,1060001,1278-5-1
1075328372,1060002,1278-3-1
1084063031,1060003,1278-4-1
1075328422,370001,1280-5-1
1084014889,370003,1280-4-1
1097052635,441001,1280-3-1
1084061788,140101,1292-6-1
1084155871,180001,1293-1-1
1084113789,941111,1294-5-1
1084129673,1400001,1295-3-1
1081635380,1250001,1296-5-1
1083740317,1250002,1296-4-1
1084032969,1250003,1296-3-1
1084109778,1850001,1309-1-1
1084109967,1852001,1310-1-1
1084110066,1851001,1311-1-1
1084126531,491201,1312-5-1
1084126531,491101,1313-5-1
1087833134,491501,1314-5-1
1087833134,49150158,1314-5-1
1087833134,49150161,1314-5-1
1087833171,491401,1315-5-1
1087833152,491301,1316-5-1
1074535057,653001,1317-6-1
1074535057,652001,1318-6-1
1074535057,655001,1319-6-1
1074535057,656001,1320-6-1
1074535057,654001,1321-6-1
1074535039,625001,1322-6-1
1084062846,1830001,1323-4-1
1083742568,1761002,1325-3-1
1084061625,890004,1326-4-1
1083742890,1130002,1327-3-1
1083742635,1552001,1329-3-1
1084146142,1550002,1330-3-1
1084110661,1900001,1332-7-1
1084140848,1880001,1333-6-1
1084063333,1890001,1334-4-1
1085890732,501001,1336-5-1
1084011528,261502,1340-3-1
1084011528,1862001,1341-3-1
1084011528,1864001,1342-3-1
1084130935,1950001,1343-3-1
1084131582,1960001,1344-4-1
1085978206,2010001,1348-5-1
1085378898,2020001,1349-3-1
1085978187,2030001,1350-4-1
1074534825,1970001,1351-1-1
1085389423,1990001,1353-1-1
1085378903,2060001,1354-5-1
1085378649,2050001,1356-4-1
