"SECTOR_OID","SECTOR","BUSINESSACT_ID","ACTIVITY_TITLE","LICENCE_OID","LICENCE","REGULATION_AREA","DA_ENGLAND","DA_SCOTLAND","DA_WALES","DA_NIRELAND","ALL_OF_UK"
"1000357","Security services","1001","Process personal information about any individuals including customers, employees etc","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000376","Web design and development","1001","Process personal information about any individuals including customers, employees etc","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000377","Internet publishing and broadcasting","1001","Process personal information about any individuals including customers, employees etc","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000383","Telecommunications resellers","1001","Process personal information about any individuals including customers, employees etc","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000405","Newspaper publishing","1001","Process personal information about any individuals including customers, employees etc","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000406","Magazine publishing","1001","Process personal information about any individuals including customers, employees etc","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000413","Self-catering accommodation","1001","Process personal information about any individuals including customers, employees etc","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000448","Osteopathy","1001","Process personal information about any individuals including customers, employees etc","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000003","Arable farming","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000004","Arable farming support services","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000042","Glazing","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000042","Glazing","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000056","Animal food manufacturing","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000056","Animal food manufacturing","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000058","Fruit and vegetable processing","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000063","Sugar and confectionery manufacturing","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000066","Alcoholic drink manufacturing","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000067","Soft drink manufacturing","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000079","Paper container and packaging manufacturing","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000082","Printing support activities","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000086","Explosives manufacturing","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000086","Explosives manufacturing","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000090","Biopharmaceuticals manufacturing","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000101","Metal treatment and coating","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000113","Motor vehicle parts manufacturing","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000119","Electric motor manufacturing","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000123","Computer and computer peripherals manufacturing","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000125","Telecommunications equipment manufacturing","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000127","Recording media manufacturing","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000134","Toys and games manufacturing","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000136","Handicrafts manufacturing","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000143","Timber and timber products wholesale agents","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000151","Fruit and vegetable wholesale","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000155","Bakery products wholesale","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000159","Alcoholic drink wholesale","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000172","Garden equipment and supplies wholesale","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000175","Hardware products wholesale","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000185","Recording media wholesale","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000189","Power tool wholesale","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000206","Paper and stationery wholesale","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000213","Bicycle and bicycle parts wholesale","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000221","Fruit and vegetable retail","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000235","Leather products retail","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000235","Leather products retail","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000253","Computers and electronic office equipment retail","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000254","Computers and electronic office equipment repair","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000258","Used motor vehicle retail","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000260","Motor vehicle maintenance and repair","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000265","Beauty and toilet products retail","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000272","Flower retail","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000275","Engraving services","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000275","Engraving services","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000279","Saddlery and tack retail and repair","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000279","Saddlery and tack retail and repair","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000281","Musical instrument retail and repair","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000288","Art and craft retail","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000289","Art and craft supplies retail","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000290","Antiques retail","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000292","Second-hand goods retail","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000313","Accountancy","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000316","Consumer credit broking","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000326","Barrister services","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000330","Insolvency services","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000332","Holding company management","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000359","Event organisation and management","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000362","Waste collection","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000364","Non-metal waste and scrap recycling","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000376","Web design and development","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000384","Telecommunications consultancy","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1079055376","Photographic services","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000397","Music recording studio services","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000398","Music production","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000399","Music publishing","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000404","Book publishing","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000405","Newspaper publishing","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000436","Midwifery","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000444","Homeopathy","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000445","Hypnotherapy","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000448","Osteopathy","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000458","Hairdressing","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000459","Beautician services","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000459","Beautician services","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000464","Slimming centres","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000475","Primary education","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000476","Secondary education","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000478","Business and professional training","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000484","Personal development instruction","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000488","Arts and entertainment agencies","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000490","Ticket agencies","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000492","Theme park operation","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
"1000496","Sports clubs","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000501","Racehorse owning and training","1002","Use CCTV systems","1075328160","Notification to process personal data (All UK)","Data protection","1","1","1","1","0"
"1000504","Betting shop operation","1002","Use CCTV systems","1087430873","Public space surveillance (CCTV) licence (All UK)","Professional services","1","1","1","1","0"
